player_id,player,age,g,mp,per,ts_pct,x3pa_rate,fta_rate,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per48,obpm,dbpm,bpm,vorp,tm,season
hartjo01,Josh Hart,28,81,2707,11.8,0.522,0.38,0.169,5.3,22.8,14.0,16.3,1.4,0.8,13.9,13.5,2.0,3.6,5.7,0.1,-1.3,1.4,0.0,1.4,NEW YORK KNICKS,2024
davisan02,Anthony Davis,30,76,2700,25.8,0.621,0.083,0.402,10.4,28.3,19.8,15.5,1.6,5.7,9.5,26.7,7.2,4.7,11.8,0.21,3.5,1.7,5.1,4.9,LOS ANGELES LAKERS,2024
vanvlfr01,Fred VanVleet,29,73,2684,16.7,0.568,0.576,0.225,1.3,9.9,5.6,31.1,1.8,2.0,10.1,19.7,5.3,3.1,8.4,0.15,2.6,0.8,3.4,3.6,HOUSTON ROCKETS,2024
foxde01,De'Aaron Fox,26,74,2659,20.1,0.567,0.374,0.273,2.8,11.8,7.2,25.2,2.7,1.1,10.1,31.0,3.3,3.2,6.5,0.117,2.6,0.1,2.7,3.2,SACRAMENTO KINGS,2024
siakapa01,Pascal Siakam,29,80,2657,19.7,0.601,0.194,0.312,5.8,18.1,11.9,19.4,1.1,0.8,8.9,25.3,5.4,1.5,6.9,0.124,2.6,-0.7,1.9,2.7,TOT,2024
tatumja01,Jayson Tatum,25,74,2645,22.3,0.604,0.427,0.349,2.9,20.9,12.3,21.0,1.4,1.4,10.3,30.2,6.4,4.1,10.4,0.189,4.5,0.6,5.1,4.7,BOSTON CELTICS,2024
reaveau01,Austin Reaves,25,82,2629,15.5,0.613,0.447,0.289,2.5,11.9,7.4,23.5,1.2,0.8,14.1,20.3,3.9,2.0,5.9,0.108,0.9,-0.4,0.4,1.6,LOS ANGELES LAKERS,2024
maxeyty01,Tyrese Maxey,23,70,2626,19.8,0.573,0.401,0.266,1.5,9.5,5.4,26.7,1.3,1.1,6.8,28.0,5.9,2.1,8.1,0.147,4.1,-1.0,3.1,3.4,PHILADELPHIA 76ERS,2024
doncilu01,Luka Dončić,24,70,2624,28.1,0.617,0.45,0.368,2.5,24.4,13.5,44.3,1.8,1.3,12.8,36.0,8.5,3.5,12.0,0.22,8.3,1.7,9.9,8.0,DALLAS MAVERICKS,2024
vucevni01,Nikola Vučević,33,76,2610,17.7,0.54,0.258,0.107,8.8,25.8,17.1,15.2,1.0,2.4,8.6,23.3,2.7,2.8,5.4,0.1,0.8,-0.7,0.1,1.4,CHICAGO BULLS,2024
greenja05,Jalen Green,21,82,2601,14.7,0.541,0.454,0.264,1.7,15.9,8.7,17.3,1.2,1.0,11.4,27.4,0.2,2.9,3.1,0.056,0.4,-0.9,-0.5,1.0,HOUSTON ROCKETS,2024
goberru01,Rudy Gobert,31,76,2593,19.3,0.675,0.005,0.635,13.1,29.2,21.5,5.6,1.0,5.5,13.1,15.4,5.8,5.8,11.6,0.216,0.1,1.7,1.8,2.5,MINNESOTA TIMBERWOLVES,2024
murrake02,Keegan Murray,23,77,2588,13.3,0.569,0.524,0.127,4.5,13.9,9.1,6.9,1.5,2.1,5.9,18.1,2.6,2.6,5.2,0.096,-0.4,-0.5,-0.9,0.8,SACRAMENTO KINGS,2024
bridgmi02,Miles Bridges,25,69,2581,15.4,0.556,0.372,0.174,3.0,19.5,11.0,14.6,1.2,1.2,9.6,24.7,0.7,1.4,2.2,0.04,0.2,-1.3,-1.1,0.6,CHARLOTTE HORNETS,2024
lillada01,Damian Lillard,33,73,2579,19.6,0.59,0.487,0.403,1.6,11.8,6.8,28.8,1.3,0.6,11.4,28.4,5.8,1.9,7.7,0.143,3.4,-1.3,2.1,2.7,MILWAUKEE BUCKS,2024
antetgi01,Giannis Antetokounmpo,29,73,2567,29.9,0.649,0.091,0.571,8.6,27.0,17.9,32.7,1.6,2.6,12.7,33.0,9.5,3.7,13.2,0.246,6.7,2.4,9.0,7.2,MILWAUKEE BUCKS,2024
portemi01,Michael Porter Jr.,25,81,2565,15.5,0.601,0.513,0.102,4.7,19.3,12.2,6.7,0.8,1.8,7.5,20.7,3.1,3.1,6.2,0.115,1.2,-1.2,0.1,1.3,DENVER NUGGETS,2024
gilgesh01,Shai Gilgeous-Alexander,25,75,2553,29.3,0.636,0.181,0.436,3.0,14.7,9.1,29.8,2.8,2.4,8.4,32.8,10.5,4.2,14.6,0.275,6.7,2.3,9.0,7.1,OKLAHOMA CITY THUNDER,2024
allengr01,Grayson Allen,28,75,2513,13.8,0.679,0.652,0.216,2.3,10.6,6.6,12.1,1.3,1.6,11.3,14.5,4.7,2.2,6.9,0.132,1.1,0.1,1.3,2.0,PHOENIX SUNS,2024
jamesle01,LeBron James,39,71,2504,23.7,0.63,0.286,0.318,2.8,19.3,11.5,37.5,1.7,1.3,14.5,29.2,5.7,2.8,8.5,0.164,5.5,0.9,6.5,5.4,LOS ANGELES LAKERS,2024
georgpa01,Paul George,33,74,2502,19.3,0.613,0.476,0.235,1.7,15.3,8.8,16.1,2.2,1.3,10.1,26.6,4.4,2.8,7.3,0.14,2.9,0.2,3.2,3.3,LOS ANGELES CLIPPERS,2024
schrode01,Dennis Schröder,30,80,2486,13.3,0.55,0.397,0.23,1.7,9.2,5.3,28.0,1.2,0.6,13.0,20.3,2.3,1.0,3.3,0.063,-0.5,-1.3,-1.8,0.1,TOT,2024
russeda01,D'Angelo Russell,27,76,2484,16.0,0.588,0.505,0.178,1.3,8.9,5.3,27.6,1.3,1.3,11.8,23.0,3.3,1.8,5.1,0.099,1.7,-0.8,0.9,1.8,LOS ANGELES LAKERS,2024
hardeja01,James Harden,34,72,2470,18.6,0.612,0.594,0.418,1.6,14.8,8.4,33.6,1.5,2.1,16.0,20.6,5.9,2.5,8.4,0.163,3.8,0.3,4.1,3.8,LOS ANGELES CLIPPERS,2024
bookede01,Devin Booker,27,68,2447,21.9,0.611,0.32,0.35,2.7,11.1,7.1,31.2,1.2,1.0,10.6,29.8,7.2,2.0,9.2,0.181,4.0,-1.0,3.0,3.1,PHOENIX SUNS,2024
allenja01,Jarrett Allen,25,77,2442,21.8,0.664,0.007,0.383,11.3,25.8,18.7,13.2,1.1,3.0,11.2,19.4,6.8,3.9,10.7,0.21,2.1,0.9,3.0,3.1,CLEVELAND CAVALIERS,2024
smithja05,Jabari Smith Jr.,20,76,2424,13.8,0.571,0.456,0.222,6.1,21.3,13.6,7.1,1.0,2.3,8.9,17.6,2.4,3.2,5.6,0.111,-0.5,0.1,-0.4,1.0,HOUSTON ROCKETS,2024
curryst01,Stephen Curry,35,74,2421,20.6,0.616,0.606,0.224,1.7,12.9,7.4,24.7,1.1,1.0,11.7,31.3,5.2,2.0,7.2,0.142,6.3,-1.1,5.2,4.4,GOLDEN STATE WARRIORS,2024
adebaba01,Bam Adebayo,26,71,2416,19.8,0.576,0.041,0.381,7.4,27.3,17.3,18.9,1.7,2.7,12.0,24.9,2.9,4.3,7.2,0.144,0.8,1.7,2.4,2.7,MIAMI HEAT,2024
holmgch01,Chet Holmgren,21,82,2413,20.4,0.632,0.366,0.289,6.2,23.1,15.0,11.6,1.1,7.3,10.9,21.6,4.6,4.4,8.9,0.178,1.8,1.5,3.4,3.3,OKLAHOMA CITY THUNDER,2024
lopezbr01,Brook Lopez,35,79,2411,14.8,0.608,0.535,0.177,5.4,13.0,9.3,7.1,0.9,6.7,8.8,16.0,3.1,2.8,5.9,0.117,0.2,0.8,1.0,1.8,MILWAUKEE BUCKS,2024
caldwke01,Kentavious Caldwell-Pope,30,76,2402,10.7,0.602,0.525,0.193,1.5,6.8,4.2,9.5,2.0,1.5,10.5,12.9,2.2,2.6,4.8,0.096,-2.1,0.7,-1.4,0.4,DENVER NUGGETS,2024
bogdabo01,Bogdan Bogdanović,31,79,2401,14.7,0.569,0.583,0.149,2.3,10.3,6.2,14.9,1.9,1.0,8.7,22.3,2.8,1.2,3.9,0.079,0.9,-0.7,0.2,1.4,ATLANTA HAWKS,2024
millebr02,Brandon Miller,21,74,2383,13.0,0.552,0.455,0.16,2.7,12.4,7.4,11.6,1.4,1.6,10.2,23.9,-0.3,1.0,0.8,0.015,-0.9,-1.6,-2.6,-0.3,CHARLOTTE HORNETS,2024
barneha02,Harrison Barnes,31,82,2381,11.9,0.611,0.526,0.268,3.1,8.8,5.9,5.6,1.1,0.5,6.6,15.7,3.1,1.5,4.7,0.094,-0.6,-1.2,-1.8,0.1,SACRAMENTO KINGS,2024
whitede01,Derrick White,29,73,2381,16.9,0.611,0.59,0.181,2.4,11.3,7.0,21.2,1.5,3.2,11.0,18.6,5.2,3.3,8.5,0.171,2.4,1.4,3.8,3.5,BOSTON CELTICS,2024
harrito02,Tobias Harris,31,70,2368,16.5,0.576,0.271,0.224,3.7,17.7,10.6,13.8,1.5,1.8,8.2,20.7,3.2,2.7,5.9,0.121,1.0,-0.1,0.9,1.7,PHILADELPHIA 76ERS,2024
divindo01,Donte DiVincenzo,27,81,2360,16.0,0.597,0.702,0.114,3.0,11.2,7.1,13.7,2.3,1.4,9.7,21.3,3.6,3.0,6.6,0.135,2.5,0.9,3.4,3.2,NEW YORK KNICKS,2024
poolejo01,Jordan Poole,24,78,2346,12.1,0.529,0.476,0.185,1.4,8.4,4.8,21.4,1.7,0.9,12.8,26.4,-1.5,0.8,-0.6,-0.013,-2.0,-1.9,-3.9,-1.2,WASHINGTON WIZARDS,2024
brownja02,Jaylen Brown,27,70,2343,18.6,0.58,0.326,0.239,4.0,13.4,8.9,16.6,1.8,1.4,10.7,28.9,2.7,3.2,5.9,0.121,0.9,-0.1,0.7,1.6,BOSTON CELTICS,2024
beaslma01,Malik Beasley,27,79,2337,10.3,0.603,0.751,0.048,2.0,11.4,6.8,6.1,1.2,0.3,6.8,14.6,1.9,1.6,3.5,0.073,-1.0,-0.8,-1.8,0.1,MILWAUKEE BUCKS,2024
wagnefr01,Franz Wagner,22,72,2337,17.6,0.575,0.305,0.291,3.6,15.7,9.6,18.8,1.6,1.1,10.0,25.7,3.1,3.2,6.4,0.131,0.9,0.3,1.2,1.9,ORLANDO MAGIC,2024
leonaka01,Kawhi Leonard,32,68,2330,23.2,0.626,0.289,0.246,4.2,15.6,10.1,16.9,2.4,2.3,8.5,26.5,6.0,2.9,8.9,0.184,4.8,0.6,5.5,4.4,LOS ANGELES CLIPPERS,2024
joneshe01,Herbert Jones,25,76,2321,13.2,0.636,0.464,0.269,3.6,9.4,6.5,11.3,2.2,2.6,12.4,14.1,3.3,3.0,6.3,0.131,-0.9,1.5,0.6,1.6,NEW ORLEANS PELICANS,2024
gordoaa01,Aaron Gordon,28,73,2297,16.8,0.607,0.193,0.376,8.6,13.9,11.4,15.2,1.2,1.7,11.2,17.8,4.5,2.6,7.1,0.148,1.2,0.1,1.3,1.9,DENVER NUGGETS,2024
thompkl01,Klay Thompson,33,77,2284,13.9,0.576,0.611,0.121,1.7,10.2,6.0,11.2,1.1,1.4,8.9,24.2,1.8,1.7,3.6,0.075,1.1,-1.5,-0.4,0.9,GOLDEN STATE WARRIORS,2024
kuzmaky01,Kyle Kuzma,28,70,2281,15.7,0.547,0.343,0.183,2.8,19.3,10.9,20.7,0.8,1.8,11.9,29.7,-1.0,1.1,0.2,0.004,0.5,-1.6,-1.1,0.5,WASHINGTON WIZARDS,2024
holidjr01,Jrue Holiday,33,69,2263,14.4,0.597,0.467,0.104,4.2,13.2,8.9,19.3,1.3,2.1,14.7,16.3,3.3,3.0,6.3,0.133,1.0,1.1,2.1,2.4,BOSTON CELTICS,2024
avdijde01,Deni Avdija,23,75,2257,14.9,0.597,0.293,0.34,3.9,22.1,12.8,17.8,1.2,1.3,14.8,20.2,1.7,1.5,3.2,0.068,-0.7,-0.2,-0.9,0.6,WASHINGTON WIZARDS,2024
vassede01,Devin Vassell,23,68,2248,15.7,0.578,0.422,0.19,1.3,11.3,6.3,19.1,1.5,0.8,8.6,23.5,2.0,1.6,3.6,0.077,0.9,-0.9,0.0,1.1,SAN ANTONIO SPURS,2024
dortlu01,Luguentz Dort,24,79,2246,11.1,0.593,0.603,0.236,3.8,10.0,7.0,6.3,1.5,1.9,9.3,15.4,2.0,2.5,4.6,0.097,-1.4,-0.2,-1.6,0.2,OKLAHOMA CITY THUNDER,2024
strusma01,Max Strus,27,70,2239,11.7,0.553,0.658,0.133,3.4,13.5,8.5,17.3,1.4,1.2,12.7,17.4,1.2,2.6,3.9,0.083,-1.1,0.5,-0.6,0.8,CLEVELAND CAVALIERS,2024
brookdi01,Dillon Brooks,28,72,2227,9.4,0.549,0.482,0.191,2.5,9.4,5.9,7.5,1.4,0.4,9.6,17.6,0.6,2.1,2.7,0.058,-3.3,-0.3,-3.6,-0.9,HOUSTON ROCKETS,2024
halibty01,Tyrese Haliburton,23,69,2224,23.3,0.605,0.51,0.217,1.8,12.0,6.9,44.9,1.8,1.7,12.2,24.6,7.6,1.5,9.0,0.195,7.3,-0.4,6.9,5.0,INDIANA PACERS,2024
willija06,Jalen Williams,22,71,2223,19.1,0.621,0.243,0.223,1.9,11.8,7.1,21.3,1.7,1.9,10.1,23.7,4.5,2.7,7.3,0.157,2.0,0.3,2.3,2.4,OKLAHOMA CITY THUNDER,2024
washipj01,P.J. Washington,25,73,2221,12.2,0.537,0.509,0.179,4.2,16.5,10.3,9.3,1.6,2.4,9.9,19.1,0.0,1.9,1.9,0.04,-1.7,-0.4,-2.1,-0.1,TOT,2024
iveyja01,Jaden Ivey,21,77,2217,12.4,0.536,0.379,0.311,4.3,9.1,6.6,20.2,1.2,1.6,14.7,24.9,-0.5,1.0,0.5,0.01,-1.4,-1.7,-3.1,-0.6,DETROIT PISTONS,2024
dosunay01,Ayo Dosunmu,24,76,2212,13.4,0.604,0.41,0.146,2.7,8.3,5.5,15.6,1.5,1.7,11.9,17.2,2.6,1.5,4.1,0.089,-0.6,-0.2,-0.8,0.7,CHICAGO BULLS,2024
willizi01,Zion Williamson,23,70,2207,22.8,0.61,0.016,0.452,6.2,14.2,10.2,26.5,1.7,2.1,12.8,29.7,4.7,2.8,7.5,0.164,3.3,0.6,3.8,3.3,NEW ORLEANS PELICANS,2024
conlemi01,Mike Conley,36,76,2193,15.8,0.627,0.629,0.174,2.0,9.0,5.6,28.4,2.0,0.7,12.8,16.0,5.0,3.3,8.2,0.18,2.0,1.4,3.4,3.0,MINNESOTA TIMBERWOLVES,2024
sochaje01,Jeremy Sochan,20,74,2193,11.4,0.513,0.293,0.186,6.7,16.9,11.7,16.0,1.3,1.5,14.3,18.8,-0.5,1.9,1.4,0.03,-2.8,-0.6,-3.4,-0.8,SAN ANTONIO SPURS,2024
hieldbu01,Buddy Hield,31,84,2160,13.3,0.578,0.668,0.069,3.1,10.9,7.0,14.5,1.6,1.6,10.5,19.2,1.9,1.6,3.5,0.077,1.0,-0.6,0.4,1.3,TOT,2024
mccolcj01,CJ McCollum,32,66,2159,17.9,0.592,0.528,0.132,2.0,12.6,7.4,21.4,1.4,1.9,9.0,24.7,3.5,2.4,5.9,0.132,3.3,-0.3,3.1,2.8,NEW ORLEANS PELICANS,2024
dinwisp01,Spencer Dinwiddie,30,76,2152,11.7,0.543,0.575,0.328,1.5,9.0,5.2,22.7,1.2,0.9,11.1,16.6,2.3,1.3,3.6,0.081,-1.3,-0.6,-1.9,0.1,TOT,2024
jonestr01,Tre Jones,24,77,2138,14.7,0.591,0.318,0.197,2.9,11.8,7.3,30.8,1.7,0.3,15.1,15.2,3.4,1.6,4.9,0.111,-0.4,0.1,-0.4,0.9,SAN ANTONIO SPURS,2024
willigr01,Grant Williams,25,76,2130,10.6,0.588,0.555,0.231,4.4,12.2,8.3,11.3,1.0,1.6,14.1,15.9,1.3,1.3,2.6,0.059,-1.9,-0.7,-2.6,-0.3,TOT,2024
jacksja02,Jaren Jackson Jr.,24,66,2124,17.4,0.552,0.315,0.359,4.2,15.0,9.4,13.1,1.8,4.7,10.6,30.4,0.2,2.8,3.0,0.067,0.0,0.4,0.4,1.3,MEMPHIS GRIZZLIES,2024
hardati02,Tim Hardaway Jr.,31,79,2120,12.1,0.542,0.612,0.173,1.1,11.9,6.5,9.2,1.0,0.2,6.2,22.6,0.8,1.4,2.2,0.05,-0.8,-2.1,-2.9,-0.5,DALLAS MAVERICKS,2024
claxtni01,Nic Claxton,24,71,2116,18.7,0.629,0.009,0.337,9.7,27.3,18.2,10.4,1.1,6.2,12.2,15.6,3.5,3.2,6.7,0.152,-0.3,1.5,1.2,1.7,BROOKLYN NETS,2024
jaqueja01,Jaime Jaquez Jr.,22,75,2113,12.9,0.574,0.29,0.251,4.4,11.0,7.6,13.9,1.8,0.9,12.4,18.7,1.4,2.7,4.0,0.092,-2.2,0.3,-1.9,0.1,MIAMI HEAT,2024
princta02,Taurean Prince,29,78,2108,8.8,0.579,0.622,0.119,1.2,10.5,6.1,7.2,1.3,1.4,10.8,13.8,0.3,1.7,1.9,0.043,-2.6,-0.2,-2.8,-0.4,LOS ANGELES LAKERS,2024
wembavi01,Victor Wembanyama,20,71,2106,23.1,0.565,0.332,0.309,8.2,30.7,19.4,21.5,2.0,10.0,16.2,32.2,-0.7,4.4,3.7,0.085,1.9,3.3,5.2,3.8,SAN ANTONIO SPURS,2024
mcdanja02,Jaden McDaniels,23,72,2105,9.4,0.571,0.406,0.126,3.2,8.7,6.0,6.8,1.5,1.8,11.6,15.7,0.3,3.1,3.4,0.077,-3.3,0.7,-2.6,-0.3,MINNESOTA TIMBERWOLVES,2024
ingrabr01,Brandon Ingram,26,64,2103,18.2,0.578,0.238,0.302,2.3,14.7,8.6,26.7,1.2,1.9,12.4,27.2,2.7,2.4,5.1,0.117,1.4,-0.3,1.2,1.7,NEW ORLEANS PELICANS,2024
barnesc01,Scottie Barnes,22,60,2094,19.5,0.566,0.314,0.266,7.3,18.9,13.0,26.2,1.7,3.7,13.6,24.8,2.3,2.0,4.3,0.098,2.9,0.8,3.7,3.0,TORONTO RAPTORS,2024
nurkiju01,Jusuf Nurkić,29,76,2078,17.4,0.559,0.144,0.416,12.8,31.7,22.8,19.9,1.9,3.4,19.1,19.1,2.0,3.8,5.8,0.133,-1.0,2.1,1.1,1.6,PHOENIX SUNS,2024
turnemy01,Myles Turner,27,77,2076,19.3,0.626,0.356,0.349,6.2,22.9,14.5,6.4,0.9,5.5,9.4,23.4,3.6,2.2,5.8,0.134,1.0,-0.1,0.9,1.5,INDIANA PACERS,2024
sextoco01,Collin Sexton,25,78,2075,19.9,0.607,0.313,0.356,3.8,7.1,5.4,29.5,1.4,0.8,12.1,27.5,5.2,0.3,5.5,0.127,3.8,-1.9,1.9,2.0,UTAH JAZZ,2024
thomaca02,Cam Thomas,22,66,2075,16.1,0.554,0.333,0.281,1.4,10.1,5.6,15.7,1.1,0.7,8.5,30.5,1.3,1.2,2.5,0.058,0.7,-1.9,-1.2,0.4,BROOKLYN NETS,2024
cunnica01,Cade Cunningham,22,62,2074,17.1,0.546,0.287,0.235,1.7,12.9,7.2,37.5,1.3,0.9,14.1,30.8,0.7,1.0,1.8,0.041,2.0,-1.6,0.3,1.2,DETROIT PISTONS,2024
kispeco01,Corey Kispert,24,80,2067,12.8,0.62,0.605,0.198,1.5,10.3,5.8,10.7,0.9,0.6,10.2,19.6,1.7,0.4,2.1,0.048,-0.2,-2.0,-2.1,-0.1,WASHINGTON WIZARDS,2024
beysa01,Saddiq Bey,24,63,2062,13.1,0.549,0.514,0.291,8.5,13.4,10.9,6.0,1.2,0.5,6.4,17.0,2.8,0.7,3.5,0.081,0.1,-2.0,-1.8,0.1,ATLANTA HAWKS,2024
oubreke01,Kelly Oubre Jr.,28,68,2055,13.5,0.535,0.37,0.264,5.0,13.5,9.2,7.3,1.8,2.1,8.2,22.4,0.6,2.4,3.0,0.07,-1.5,-0.7,-2.3,-0.1,PHILADELPHIA 76ERS,2024
sengual01,Alperen Şengün,21,63,2046,22.0,0.585,0.113,0.358,9.5,21.5,15.4,25.2,1.8,2.1,12.5,27.0,3.8,3.1,6.9,0.163,3.1,1.7,4.9,3.5,HOUSTON ROCKETS,2024
butleji01,Jimmy Butler,34,60,2042,22.0,0.626,0.183,0.579,5.8,11.9,8.8,23.1,1.9,0.8,9.3,24.0,6.4,2.7,9.1,0.214,3.9,0.7,4.6,3.4,MIAMI HEAT,2024
carusal01,Alex Caruso,29,71,2040,14.5,0.613,0.616,0.177,3.3,11.8,7.5,16.4,2.9,3.5,14.9,14.7,2.3,2.6,4.9,0.115,0.2,2.3,2.5,2.3,CHICAGO BULLS,2024
roziete01,Terry Rozier,29,61,2040,17.3,0.555,0.411,0.198,1.9,12.0,6.8,27.5,1.5,1.0,8.9,25.9,2.3,1.6,3.9,0.091,2.2,-0.7,1.5,1.8,TOT,2024
johnske04,Keldon Johnson,24,69,2038,14.2,0.565,0.426,0.256,5.0,15.1,10.0,14.2,1.2,0.8,9.4,21.9,1.5,1.5,3.0,0.071,-0.3,-1.4,-1.7,0.2,SAN ANTONIO SPURS,2024
irvinky01,Kyrie Irving,31,58,2030,21.9,0.608,0.372,0.186,2.4,13.2,7.8,23.8,1.7,1.2,8.0,28.1,4.9,2.0,6.9,0.163,4.8,0.1,4.9,3.6,DALLAS MAVERICKS,2024
townska01,Karl-Anthony Towns,28,62,2026,18.8,0.625,0.344,0.307,5.5,22.6,14.4,15.1,1.0,1.8,14.1,27.4,2.6,3.6,6.3,0.148,1.6,0.9,2.5,2.3,MINNESOTA TIMBERWOLVES,2024
suggsja01,Jalen Suggs,22,75,2025,14.1,0.602,0.539,0.218,2.8,10.6,6.6,15.0,2.6,2.2,14.4,19.7,1.5,3.2,4.7,0.112,-0.6,1.6,1.0,1.5,ORLANDO MAGIC,2024
georgke01,Keyonte George,20,75,2023,10.4,0.533,0.54,0.274,0.8,10.6,5.7,23.1,0.9,0.3,17.1,22.8,-0.4,0.1,-0.3,-0.008,-1.5,-2.9,-4.4,-1.2,UTAH JAZZ,2024
giddejo01,Josh Giddey,21,80,2011,16.6,0.547,0.287,0.146,6.4,21.5,14.2,26.6,1.2,2.0,15.7,23.1,1.4,2.9,4.3,0.102,1.0,0.4,1.5,1.8,OKLAHOMA CITY THUNDER,2024
portibo01,Bobby Portis,28,82,2008,17.5,0.581,0.268,0.135,7.9,24.8,16.6,7.8,1.6,1.4,8.6,22.9,2.1,2.6,4.7,0.112,0.0,-0.8,-0.8,0.6,MILWAUKEE BUCKS,2024
nesmiaa01,Aaron Nesmith,24,72,1995,12.8,0.631,0.526,0.216,3.6,12.0,7.8,6.6,1.5,2.0,8.4,16.0,2.8,1.3,4.1,0.098,-0.3,-0.2,-0.5,0.8,INDIANA PACERS,2024
trentga02,Gary Trent Jr.,25,71,1994,12.0,0.548,0.535,0.113,1.4,9.2,5.2,8.6,1.9,0.4,5.0,20.0,0.8,0.9,1.7,0.04,-1.2,-1.4,-2.6,-0.3,TORONTO RAPTORS,2024
powelno01,Norman Powell,30,76,1990,13.9,0.626,0.5,0.224,0.9,9.8,5.5,5.9,1.1,1.0,7.3,20.0,2.8,1.3,4.1,0.099,0.4,-1.2,-0.8,0.6,LOS ANGELES CLIPPERS,2024
quickim01,Immanuel Quickley,24,68,1985,16.7,0.577,0.484,0.274,0.9,13.7,7.2,24.6,1.2,0.5,9.2,23.8,3.5,1.2,4.7,0.115,2.2,-0.9,1.3,1.7,TOT,2024
podzibr01,Brandin Podziemski,20,74,1968,13.0,0.54,0.392,0.132,6.6,16.7,11.7,18.1,1.5,0.6,12.2,15.4,2.1,2.0,4.1,0.1,-0.5,0.4,-0.1,0.9,GOLDEN STATE WARRIORS,2024
reidna01,Naz Reid,24,81,1964,16.0,0.595,0.479,0.174,4.4,19.3,12.2,8.3,1.6,3.3,10.8,23.1,1.1,3.8,4.9,0.12,0.4,1.1,1.5,1.7,MINNESOTA TIMBERWOLVES,2024
leverca01,Caris LeVert,29,68,1958,14.6,0.524,0.405,0.245,2.3,13.7,8.0,25.7,1.9,1.6,11.4,23.1,1.0,2.6,3.6,0.088,-0.6,0.8,0.2,1.1,CLEVELAND CAVALIERS,2024
onealro01,Royce O'Neale,30,79,1954,11.1,0.548,0.783,0.065,3.4,17.9,10.7,15.0,1.5,2.0,11.6,13.9,1.3,2.1,3.4,0.085,-1.0,1.0,0.0,1.0,TOT,2024
kuminjo01,Jonathan Kuminga,21,74,1949,17.0,0.598,0.191,0.347,5.2,14.4,9.8,12.5,1.4,1.7,10.9,24.1,2.7,1.9,4.6,0.113,0.0,-0.4,-0.4,0.8,GOLDEN STATE WARRIORS,2024
mitchdo01,Donovan Mitchell,27,55,1942,22.1,0.595,0.454,0.292,2.7,13.4,8.1,28.3,2.6,1.4,11.1,31.4,3.6,2.9,6.4,0.159,4.6,1.2,5.8,3.9,CLEVELAND CAVALIERS,2024
youngtr01,Trae Young,25,54,1942,20.3,0.585,0.465,0.404,1.2,7.3,4.2,45.1,1.8,0.5,16.5,30.5,4.0,0.6,4.6,0.114,4.9,-2.3,2.6,2.2,ATLANTA HAWKS,2024
